Comment,Designator,Footprint,LCSC Part #
1uF 16V X5R,"C1,C6,C13",C_0603_1608Metric,C106215
2.2uF 10V X7R,C2,C_0603_1608Metric,C100082
10uF 10V X5R,"C3,C4,C5,C10",C_0603_1608Metric,C109453
100nF 16V X7R,"C7,C8,C9,C11,C12",C_0402_1005Metric,C169842
LED Red - SZYY0402R,D1,LED_0402_1005Metric,C434445
LED Green - GL0402UG01,D2,LED_0402_1005Metric,C51933302
LED Blue - XL-1005UBC,D3,LED_0402_1005Metric,C22355736
SM10B-GHS-TB,J1,JST_GH_SM10B-GHS-TB_1x10-1MP_P1.25mm_Horizontal,C2683602
USB4110-GF-A,J3,USB_C_Receptacle_GCT_USB4110,C5143397
2.2uH 0805 - ZEPIM201265S-2R2M,L1,L_0805_2012Metric,C48945047
S2B-PH-SM4-TB(LF)(SN),P1,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,C295747
10k 1%,"R1,R3,R4,R5",R_0402_1005Metric,C25744
330k 1%,R2,R_0402_1005Metric,C138006
2.7k 5%,"R6,R9",R_0402_1005Metric,C25935
120R 1%,"R7,R8",R_0402_1005Metric,C25079
KMR231GLFS tactile switch,SW1,SW_Push_1P1T_NO_CK_KMR2,C99271
BMD-340-A-R,U1,BMD-340_UBL,C5456944
NPM1300-CAAA-R7,U2,WLCSP35_2p3775X3p0775_NOR,C25346894
SN65HVD75DGKR,"U3,U4",DGK8_TEX,C179693
LSM6DSV32XTR,U5,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,C22461202
MMC5983MA,U6,LGA-16_3x3mm_P0.5mm,C404329
