Designator,Mid X,Mid Y,Rotation,Layer
C1,154.500000,-82.200000,90.000000,Top
C2,152.480000,-80.890000,90.000000,Top
C3,159.700000,-81.500000,270.000000,Top
C4,161.200000,-81.500000,270.000000,Top
C5,159.300000,-86.425000,270.000000,Top
C6,156.775000,-81.200000,0.000000,Top
C7,157.100000,-86.200000,90.000000,Top
C8,157.000000,-98.180000,270.000000,Top
C9,161.400000,-99.100000,90.000000,Top
C10,173.100000,-101.400000,270.000000,Top
C11,166.900000,-103.400000,0.000000,Top
C12,168.300000,-103.800000,270.000000,Top
C13,170.900000,-104.100000,180.000000,Top
D1,143.800000,-106.050000,270.000000,Top
D2,146.000000,-106.017500,270.000000,Top
D3,148.200000,-106.017500,270.000000,Top
J1,159.425000,-106.100000,0.000000,Top
J3,148.490000,-96.260000,270.000000,Top
L1,160.700000,-84.000000,0.000000,Top
P1,148.050000,-84.410000,270.000000,Top
R1,158.100000,-85.910000,90.000000,Top
R2,154.800000,-85.200000,270.000000,Top
R3,155.800000,-85.910000,90.000000,Top
R4,160.900000,-92.600000,0.000000,Top
R5,153.300000,-92.200000,270.000000,Top
R6,162.400000,-98.100000,270.000000,Top
R7,153.355000,-101.085000,180.000000,Top
R8,156.900000,-102.400000,180.000000,Top
R9,163.400000,-98.100000,270.000000,Top
SW1,156.800000,-89.800000,0.000000,Top
U1,167.900000,-89.600000,270.000000,Top
U2,157.062000,-83.440000,0.000000,Top
U3,159.500000,-96.300000,180.000000,Top
U4,154.740800,-96.300000,180.000000,Top
U5,167.100000,-101.387500,0.000000,Top
U6,170.600000,-101.600000,270.000000,Top
