Comment,Designator,Footprint,LCSC,Quantity
100nF,"C11,C12,C7,C8,C9",C_0402_1005Metric,C307331,5
10k,"R1,R3,R4,R5",R_0402_1005Metric,C25744,4
10uF,"C10,C3,C4,C5",C_0603_1608Metric,C96446,4
120,"R7,R8",R_0402_1005Metric,C25079,2
1uF,"C1,C13,C6",C_0603_1608Metric,C15849,3
2.2uF,C2,C_0603_1608Metric,C23630,1
2.2uH,L1,L_0805_2012Metric,C1043,1
2.7k,"R6,R9",R_0402_1005Metric,C25885,2
330k,R2,R_0402_1005Metric,C25778,1
BMD-340-A-R_pin23_25_removed,U1,BMD-340_UBL_ncs_removed,C5456944,1
LED,D3,LED_0402_1005Metric,C22355736,1
LED,D1,LED_0402_1005Metric,C434445,1
LED,D2,LED_0402_1005Metric,C51933302,1
LSM6DSV32XTR,U5,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,C22461202,1
MMC5983MA,U6,LGA-16_3x3mm_P0.5mm,C404329,1
NPM1300-CAAA-R7,U2,WLCSP35_2p3775X3p0775_NOR,C25346894,1
S2B-PH-SM4-TB,P1,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,C295747,1
SM10B-GHS-TB,J1,JST_GH_SM10B-GHS-TB_1x10-1MP_P1.25mm_Horizontal,C2683602,1
SN65HVD75DGKR,"U3,U4",DGK8_TEX,C179693,2
USB_C_Receptacle_USB2.0_16P,J3,USB_C_Receptacle_GCT_USB4110,C5143397,1
