Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,62.135528,-50.389287,180.0,bottom
C10,10uF,C_0603_1608Metric,48.25,-68.0,90.0,bottom
C11,100nF,C_0402_1005Metric,47.602565,-61.75,0.0,bottom
C12,100nF,C_0402_1005Metric,47.61927,-63.987566,180.0,bottom
C13,1uF,C_0603_1608Metric,45.25,-65.382478,180.0,bottom
C2,2.2uF,C_0603_1608Metric,64.57811,-53.648085,0.0,top
C3,10uF,C_0603_1608Metric,60.438979,-53.642514,0.0,top
C4,10uF,C_0603_1608Metric,60.442313,-52.102189,0.0,top
C5,10uF,C_0603_1608Metric,57.409921,-52.79673,90.0,bottom
C6,1uF,C_0603_1608Metric,64.57811,-52.095257,0.0,top
C7,100nF,C_0402_1005Metric,60.519979,-54.885555,0.0,top
C8,100nF,C_0402_1005Metric,65.504699,-61.141235,270.0,bottom
C9,100nF,C_0402_1005Metric,51.25,-60.75,90.0,bottom
D1,LED,LED_0402_1005Metric,61.152386,-50.729636,180.0,top
D2,LED,LED_0402_1005Metric,63.114153,-50.730469,180.0,top
D3,LED,LED_0402_1005Metric,65.099573,-50.740471,180.0,top
J1,SM10B-GHS-TB,JST_GH_SM10B-GHS-TB_1x10-1MP_P1.25mm_Horizontal,57.5,-66.5,180.0,bottom
J2,Conn_SWD,Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,62.48,-57.365,180.0,top
J3,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4110,50.0,-64.46,0.0,top
L1,2.2uH,L_0805_2012Metric,59.269979,-51.385555,90.0,bottom
P1,S2B-PH-SM4-TB,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,61.5,-64.6,180.0,top
R1,10k,R_0402_1005Metric,59.2545,-53.885607,180.0,bottom
R2,330k,R_0402_1005Metric,64.798626,-53.349217,270.0,bottom
R3,10k,R_0402_1005Metric,64.762635,-50.845312,90.0,bottom
R4,10k,R_0402_1005Metric,54.0,-57.75,270.0,bottom
R5,10k,R_0402_1005Metric,52.75,-57.76,90.0,bottom
R6,2.7k,R_0402_1005Metric,51.75,-55.75,90.0,bottom
R7,120,R_0402_1005Metric,49.37685,-63.208105,90.0,bottom
R8,120,R_0402_1005Metric,50.389749,-63.223681,270.0,bottom
R9,2.7k,R_0402_1005Metric,52.75,-55.75,90.0,bottom
U1,BMD-340-A-R_pin23_25_removed,BMD-340_UBL_ncs_removed,53.127323,-55.321684,90.0,top
U2,NPM1300-CAAA-R7,WLCSP35_2p3775X3p0775_NOR,62.269979,-52.885555,0.0,bottom
U3,SN65HVD75DGKR,DGK8_TEX,61.754699,-61.141235,180.0,bottom
U4,SN65HVD75DGKR,DGK8_TEX,55.0,-60.75,0.0,bottom
U5,LSM6DSV32XTR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,45.0,-62.75,270.0,bottom
U6,MMC5983MA,LGA-16_3x3mm_P0.5mm,45.25,-68.0,270.0,bottom
