Designator,Mid X,Mid Y,Rotation,Layer
C1,161.07,-63.94,0.0,top
C2,159.08,-63.77,90.0,top
C3,163.47,-63.33,270.0,bottom
C4,159.24,-63.36,180.0,bottom
C5,161.32,-63.01,180.0,bottom
C6,156.88,-58.27,180.0,bottom
J1,156.59,-60.62,180.0,top
Q1,160.84,-58.77,270.0,bottom
R1,157.63,-64.32,180.0,bottom
R2,157.36,-63.28,180.0,bottom
R3,155.7,-63.43,270.0,bottom
R4,163.72,-58.43,90.0,bottom
R5,159.51,-59.34,270.0,bottom
U1,161.24,-60.53,0,top
U2,162.1781,-60.87,0.0,bottom
U3,156.984999,-60.75,0,bottom
