Comment,Designator,Footprint,LCSC Part #
10uF 10V X5R +/-10%,"C1, C19",0603,C19702
1uF 25V X5R +/-10%,"C2, C10",0402,C52923
100nF 16V X7R +/-10%,"C3, C4, C8, C9, C14, C15, C16, C20",0402,C60474
470pF 50V NP0 +/-5%,C5,0402,C106259
4.7uF 10V X5R +/-10%,"C6, C17",0603,C1705
4.7nF 50V X7R +/-10%,C7,0402,C84705
220pF 50V NP0 +/-5%,"C11, C12",0402,C107001
10uF 25V X5R +/-10%,C13,0805,C15850
"TPSE477M010R0100",C18,CASE-E-7343-43,C308821
"JST GH 4-position right-angle SMD header, 1.25mm","J1, J4",JST GH 1x4 P1.25mm RA SMD,C51940118
"JST GH 10-position right-angle SMD header, 1.25mm","J2, J3",JST GH 1x10 P1.25mm RA SMD,C2683602
"JST GH 2-position right-angle SMD header, 1.25mm","J6, J7",JST GH 1x2 P1.25mm RA SMD,C189893
N-channel MOSFET 60V 310mA,"Q1, Q2, Q3, Q4",SOT-323 (SC-70),C255579
120ohm +/-1% 0.1W,"R1, R2",0603,C22787
10kohm +/-1% 0.0625W,"R3, R15, R23",0402,C25744
330ohm +/-1% 0.0625W,"R4, R5, R6",0402,C25104
100kohm +/-1% 0.0625W,"R7, R8, R9, R18, R20, R21, R22",0402,C25741
100ohm +/-1% 0.0625W,"R10, R11, R12, R19",0402,C25076
33ohm +/-1% 0.0625W,R13,0402,C25105
100ohm +/-1% 0.1W,R14,0603,C22775
1kohm +/-1% 0.0625W,"R16, R17",0402,C11702
SN65HVD75DGKR,"U1, U2",VSSOP-8 3x3mm P0.65mm,C179693
2.5W mono Class-D audio amplifier,U3,MSOP-8,C113367
"STM32G071 MCU, 128KB flash",U4,UFQFPN-28 4x4mm P0.5mm,C529347
Low-voltage H-bridge motor/solenoid driver,U5,WSON-8-EP 2x2mm P0.5mm,C39159
