Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0603_1608Metric",8.025000,3.400000,180.000000,top
"C2","1uF","C_0402_1005Metric",8.070000,2.000000,180.000000,top
"C3","100nF","C_0402_1005Metric",22.850000,12.700000,90.000000,top
"C4","100nF","C_0402_1005Metric",18.250000,12.700000,90.000000,top
"C5","470pF","C_0402_1005Metric",6.650000,35.300000,90.000000,top
"C6","4.7uF","C_0603_1608Metric",8.050000,5.700000,90.000000,top
"C7","4.7nF","C_0402_1005Metric",11.850000,22.720000,90.000000,top
"C8","100nf","C_0402_1005Metric",13.230000,21.700000,180.000000,top
"C9","100nf","C_0402_1005Metric",13.250000,20.700000,180.000000,top
"C10","1uF","C_0402_1005Metric",22.850000,16.200000,-90.000000,top
"C11","220pF","C_0402_1005Metric",22.550000,24.420000,-90.000000,top
"C12","220pF","C_0402_1005Metric",17.750000,19.200000,0.000000,top
"C13","10uF","C_0805_2012Metric",21.650000,19.200000,180.000000,top
"C14","100nF","C_0402_1005Metric",7.750000,18.600000,0.000000,top
"C15","100nF","C_0402_1005Metric",19.850000,27.400000,90.000000,top
"C16","100nF","C_0402_1005Metric",7.850000,23.500000,-90.000000,top
"C17","4.7uF","C_0603_1608Metric",21.150000,26.900000,-90.000000,top
"C18","470uF","CASE-E-7343-43",9.450000,13.600000,90.000000,top
"C19","10uF","C_0603_1608Metric",10.450000,18.900000,0.000000,top
"C20","100nF","C_0402_1005Metric",20.950000,30.000000,0.000000,top
"J1","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",26.550000,30.500000,90.000000,top
"J2","SM10B-GHS-TB","JST_GH_SM10B-GHS-TB_1x10-1MP_P1.25mm_Horizontal",26.550000,10.300000,90.000000,top
"J3","SM10B-GHS-TB","JST_GH_SM10B-GHS-TB_1x10-1MP_P1.25mm_Horizontal",2.950000,10.300000,-90.000000,top
"J4","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",2.950000,30.500000,-90.000000,top
"J6","SM02B-GHS-TB","JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal",26.550000,22.275000,90.000000,top
"J7","SM02B-GHS-TB","JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal",2.925901,22.275000,-90.000000,top
"Q1","2N7002","SOT-323_SC-70",22.950000,35.900000,90.000000,top
"Q2","2N7002","SOT-323_SC-70",20.850000,34.300000,90.000000,top
"Q3","2N7002","SOT-323_SC-70",18.500000,33.812500,90.000000,top
"Q4","2N7002","SOT-323_SC-70",7.350000,30.700000,90.000000,top
"R1","120","R_0603_1608Metric",15.325000,4.800000,180.000000,top
"R2","120","R_0603_1608Metric",15.500000,2.300000,180.000000,top
"R3","10k","R_0402_1005Metric",18.550000,18.200000,180.000000,top
"R4","330","R_0402_1005Metric",21.350000,31.500000,-90.000000,top
"R5","330","R_0402_1005Metric",22.350000,31.500000,-90.000000,top
"R6","330","R_0402_1005Metric",22.850000,33.400000,-90.000000,top
"R7","100k","R_0402_1005Metric",24.650000,37.400000,90.000000,top
"R8","100k","R_0402_1005Metric",20.550000,37.400000,0.000000,top
"R9","100k","R_0402_1005Metric",18.250000,36.800000,0.000000,top
"R10","100","R_0402_1005Metric",23.050000,37.900000,180.000000,top
"R11","100","R_0402_1005Metric",20.850000,36.300000,180.000000,top
"R12","100","R_0402_1005Metric",18.550000,35.800000,180.000000,top
"R13","33","R_0402_1005Metric",16.440000,18.100000,180.000000,top
"R14","100","R_0603_1608Metric",6.950000,27.700000,90.000000,top
"R15","10k","R_0402_1005Metric",8.350000,34.200000,0.000000,top
"R16","1k","R_0402_1005Metric",8.350000,35.200000,180.000000,top
"R17","1k","R_0402_1005Metric",13.250000,22.700000,0.000000,top
"R18","100k","R_0402_1005Metric",15.140000,21.700000,180.000000,top
"R19","100","R_0402_1005Metric",9.050000,30.800000,90.000000,top
"R20","100k","R_0402_1005Metric",18.850000,24.800000,180.000000,top
"R21","100k","R_0402_1005Metric",15.160000,20.700000,180.000000,top
"R22","100k","R_0402_1005Metric",9.050000,32.700000,90.000000,top
"R23","10k","R_0402_1005Metric",7.150000,25.600000,180.000000,top
"U1","THVD1410DGKR","VSSOP-8_3x3mm_P0.65mm",20.550000,14.300000,-90.000000,top
"U2","THVD1410DGKR","VSSOP-8_3x3mm_P0.65mm",15.950000,14.400000,-90.000000,top
"U3","PAM8302AASCR","PAM8302AASCR_DIO",19.260599,22.025001,0.000000,top
"U4","STM32G071GBU6","QFN-28_4x4mm_P0.5mm",16.749999,29.175000,90.000000,top
"U5","DRV8837","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",9.600000,22.650000,90.000000,top
