Comment,Designator,Footprint,LCSC,Quantity
100,R14,R_0603_1608Metric,C22775,1
100,"R10,R11,R12,R19",R_0402_1005Metric,C25076,4
100k,"R18,R20,R21,R22,R7,R8,R9",R_0402_1005Metric,C25741,7
100nF,"C14,C15,C16,C20,C3,C4",C_0402_1005Metric,C307331,6
100nf,"C8,C9",C_0402_1005Metric,C307331,2
10k,"R15,R23,R3",R_0402_1005Metric,C25744,3
10uF,C13,C_0805_2012Metric,C440198,1
10uF,"C1,C19",C_0603_1608Metric,C96446,2
120,"R1,R2",R_0603_1608Metric,C14709,2
1k,"R16,R17",R_0402_1005Metric,C11702,2
1uF,C10,C_0402_1005Metric,C52923,1
220pF,"C11,C12",C_0402_1005Metric,C1530,2
2N7002PW,"Q1,Q2,Q3,Q4",SOT-323_SC-70,C5224236,4
33,R13,R_0402_1005Metric,C25105,1
330,"R4,R5,R6",R_0402_1005Metric,C25104,3
4.7nF,C7,C_0402_1005Metric,C1538,1
4.7uF,C17,C_0603_1608Metric,C19666,1
470pF,C5,C_0402_1005Metric,C1537,1
470uF,C18,CP_EIA-7343-43_Kemet-X,C506631,1
DRV8837,U5,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,C39159,1
PAM8302AASCR,U3,PAM8302AASCR_DIO,C113367,1
SM02B-GHS-TB,"J6,J7",JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,C189893,2
SM04B-GHS-TB,"J1,J4",JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,C51940118,2
SM10B-GHS-TB,"J2,J3",JST_GH_SM10B-GHS-TB_1x10-1MP_P1.25mm_Horizontal,C2683602,2
STM32G071GBU6,U4,QFN-28_4x4mm_P0.5mm,C529347,1
THVD1410DGKR,"U1,U2",VSSOP-8_3x3mm_P0.65mm,C179693,2
