Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,79.0,-134.75,-90.0,top
C10,1uF,C_0402_1005Metric,90.5,-137.75,-90.0,top
C11,220pF,C_0402_1005Metric,93.25,-139.0,0.0,top
C12,220pF,C_0402_1005Metric,93.25,-140.0,0.0,top
C13,10uF,C_0805_2012Metric,92.0,-136.75,-90.0,top
C14,100nF,C_0402_1005Metric,87.0,-128.0,270.0,bottom
C15,100nF,C_0402_1005Metric,79.5,-140.75,90.0,bottom
C16,100nF,C_0402_1005Metric,77.0,-126.75,270.0,bottom
C17,4.7uF,C_0603_1608Metric,81.5,-140.75,270.0,bottom
C18,470uF,CP_EIA-7343-43_Kemet-X,82.060342,-127.16,0.0,top
C19,10uF,C_0603_1608Metric,84.395493,-127.400473,270.0,bottom
C20,100nF,C_0402_1005Metric,79.75,-142.25,180.0,bottom
C3,100nF,C_0402_1005Metric,86.875,-131.825,-90.0,top
C4,100nF,C_0402_1005Metric,86.887975,-134.975,90.0,top
C5,470pF,C_0402_1005Metric,78.0,-144.25,0.0,top
C7,4.7nF,C_0402_1005Metric,90.0,-140.75,180.0,top
C8,100nf,C_0402_1005Metric,91.5,-142.5,90.0,top
C9,100nf,C_0402_1005Metric,90.0,-139.25,0.0,top
J1,SM04B-GHS-TB,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,98.607541,-140.140702,270.0,top
J2,SM10B-GHS-TB,JST_GH_SM10B-GHS-TB_1x10-1MP_P1.25mm_Horizontal,98.6,-136.375,90.0,bottom
J3,SM10B-GHS-TB,JST_GH_SM10B-GHS-TB_1x10-1MP_P1.25mm_Horizontal,74.9,-136.375,90.0,top
J4,SM04B-GHS-TB,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,74.926329,-140.140082,270.0,bottom
J5,Conn_SWD,Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,86.115,-141.23,90.0,top
J6,SM02B-GHS-TB,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,98.601584,-131.373277,270.0,top
J7,SM02B-GHS-TB,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,74.952914,-131.309049,270.0,bottom
JP1,RS485,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,81.5,-131.35,270.0,bottom
JP2,RS485,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,81.5,-136.039555,270.0,bottom
Q1,2N7002PW,SOT-323_SC-70,89.410995,-131.964577,90.0,top
Q2,2N7002PW,SOT-323_SC-70,92.670995,-129.709577,0.0,top
Q3,2N7002PW,SOT-323_SC-70,92.420995,-133.459577,-90.0,top
Q4,2N7002PW,SOT-323_SC-70,84.5,-140.5,180.0,bottom
R1,120,R_0603_1608Metric,85.015082,-131.434917,90.0,bottom
R10,100,R_0402_1005Metric,89.410995,-133.964577,0.0,top
R11,100,R_0402_1005Metric,90.682415,-129.710367,-90.0,top
R12,100,R_0402_1005Metric,92.431905,-131.438621,180.0,top
R13,33,R_0402_1005Metric,81.819532,-133.637362,180.0,top
R14,100,R_0603_1608Metric,94.5,-144.0,180.0,bottom
R15,10k,R_0402_1005Metric,88.0,-144.0,180.0,bottom
R16,1k,R_0402_1005Metric,78.0,-144.25,0.0,bottom
R17,1k,R_0402_1005Metric,92.5,-142.49,-90.0,top
R18,100k,R_0402_1005Metric,90.5,-142.49,90.0,top
R19,100,R_0402_1005Metric,84.75,-143.75,270.0,bottom
R2,120,R_0603_1608Metric,84.997576,-136.084565,90.0,bottom
R20,100k,R_0402_1005Metric,93.25,-141.0,0.0,top
R21,100k,R_0402_1005Metric,89.5,-142.5,90.0,top
R22,100k,R_0402_1005Metric,82.5,-144.25,180.0,bottom
R23,10k,R_0402_1005Metric,82.175023,-128.935797,0.0,bottom
R3,10k,R_0402_1005Metric,83.865918,-133.627337,0.0,top
R4,330,R_0402_1005Metric,92.425214,-133.5,180.0,bottom
R5,330,R_0402_1005Metric,92.920512,-129.729376,90.0,bottom
R6,330,R_0402_1005Metric,89.410995,-131.714577,0.0,bottom
R7,100k,R_0402_1005Metric,89.410995,-132.714577,0.0,bottom
R8,100k,R_0402_1005Metric,91.90547,-129.730417,90.0,bottom
R9,100k,R_0402_1005Metric,92.425214,-132.5,180.0,bottom
U1,THVD1410DGKR,VSSOP-8_3x3mm_P0.65mm,83.125,-131.325,180.0,top
U2,THVD1410DGKR,VSSOP-8_3x3mm_P0.65mm,83.1375,-135.975,180.0,top
U3,PAM8302AASCR,PAM8302AASCR_DIO,91.5,-140.0,90.0,bottom
U4,STM32G071GBU6,QFN-28_4x4mm_P0.5mm,81.475,-141.0,270.0,top
U5,DRV8837,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,81.230342,-127.01,0.0,bottom
