Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19",0603,2,10uF,
C10,0402,1,1uF,
"C11, C12",0402,2,220pF,
C13,0805,1,10uF,
"C14, C15, C16, C20, C3, C4, C8, C9",0402,8,100nF,
C17,0603,1,4.7uF,
C18,CP_EIA-7343-43_Kemet-X,1,470uF,
C5,0402,1,470pF,
C7,0402,1,4.7nF,
"J1, J4",JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,2,SM04B-GHS-TB,
"J2, J3",JST_GH_SM10B-GHS-TB_1x10-1MP_P1.25mm_Horizontal,2,SM10B-GHS-TB,
"J6, J7",JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,2,SM02B-GHS-TB,
"Q1, Q2, Q3, Q4",SOT-323_SC-70,4,2N7002PW,
"R1, R2",0603,2,120,
"R10, R11, R12, R19",0402,4,100,
R13,0402,1,33,
R14,0603,1,100,
"R15, R23, R3",0402,3,10k,
"R16, R17",0402,2,1k,
"R18, R20, R21, R22, R7, R8, R9",0402,7,100k,
"R4, R5, R6",0402,3,330,
"U1, U2",VSSOP-8_3x3mm_P0.65mm,2,THVD1410DGKR,
U3,PAM8302AASCR_DIO,1,PAM8302AASCR,
U4,QFN-28_4x4mm_P0.5mm,1,STM32G071GBU6,
U5,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,1,DRV8837,
