Designator,Mid X,Mid Y,Rotation,Layer
C1,79.0,-134.75,270.0,top
C10,90.5,-137.75,270.0,top
C11,93.25,-139.0,0.0,top
C12,93.25,-140.0,0.0,top
C13,92.0,-136.75,270.0,top
C14,87.0,-128.0,270.0,bottom
C15,79.5,-140.75,90.0,bottom
C16,77.0,-126.75,270.0,bottom
C17,81.5,-140.75,270.0,bottom
C18,82.060342,-127.16,0.0,top
C19,84.395493,-127.400473,270.0,bottom
C20,79.75,-142.25,180.0,bottom
C3,86.875,-131.825,270.0,top
C4,86.887975,-134.975,90.0,top
C5,78.0,-144.25,0.0,top
C7,90.0,-140.75,180.0,top
C8,91.5,-142.5,90.0,top
C9,90.0,-139.25,0.0,top
J1,98.607541,-140.140702,270.0,top
J2,98.6,-136.375,90.0,bottom
J3,74.9,-136.375,90.0,top
J4,74.926329,-140.140082,270.0,bottom
J5,86.115,-141.23,90.0,top
J6,98.601584,-131.373277,270.0,top
J7,74.952914,-131.309049,270.0,bottom
JP1,81.5,-131.35,270.0,bottom
JP2,81.5,-136.039555,270.0,bottom
Q1,89.410995,-131.964577,90.0,top
Q2,92.670995,-129.709577,0.0,top
Q3,92.420995,-133.459577,270.0,top
Q4,84.5,-140.5,180.0,bottom
R1,85.015082,-131.434917,90.0,bottom
R10,89.410995,-133.964577,0.0,top
R11,90.682415,-129.710367,270.0,top
R12,92.431905,-131.438621,180.0,top
R13,81.819532,-133.637362,180.0,top
R14,94.5,-144.0,180.0,bottom
R15,88.0,-144.0,180.0,bottom
R16,78.0,-144.25,0.0,bottom
R17,92.5,-142.49,270.0,top
R18,90.5,-142.49,90.0,top
R19,84.75,-143.75,270.0,bottom
R2,84.997576,-136.084565,90.0,bottom
R20,93.25,-141.0,0.0,top
R21,89.5,-142.5,90.0,top
R22,82.5,-144.25,180.0,bottom
R23,82.175023,-128.935797,0.0,bottom
R3,83.865918,-133.627337,0.0,top
R4,92.425214,-133.5,180.0,bottom
R5,92.920512,-129.729376,90.0,bottom
R6,89.410995,-131.714577,0.0,bottom
R7,89.410995,-132.714577,0.0,bottom
R8,91.90547,-129.730417,90.0,bottom
R9,92.425214,-132.5,180.0,bottom
U1,83.125,-131.325,180.0,top
U2,83.1375,-135.975,180.0,top
U3,91.5,-140.0,90.0,bottom
U4,81.475,-141.0,90.0,top
U5,81.230342,-127.01,0.0,bottom
